,,2月 joint 累計支出：36684,,,,,
品項,說明,金額,日期,,Source,Payer,
蜂蜜,＊3,1109,2017-10-29,10,,,
肉,火鍋肉片,172,2017-10-29,10,,,
外食,日式定食,360,2017-10-29,10,,,
水果,,265,2017-10-29,10,,,
蔬菜,,270,2017-10-29,10,,,
蔬菜,小玉米,50,2017-10-29,10,,,
蔬菜,番茄,115,2017-10-29,10,,,
蔬菜,,75,2017-10-29,10,,,
肉,排骨、肉絲,150,2017-10-29,10,,,
肉,雞腿,150,2017-10-29,10,,,
外食,早餐,190,2017-10-29,10,,,
外食,西雅圖,251,2017-10-29,10,,,
乳液,＊2,930,2017-10-30,10,,,
飲品,牛奶、紅茶,140,2017-10-30,10,,,
蔬菜,四季豆、空心菜、馬鈴薯,170,2017-11-01,11,,,
蔬菜,番茄、綠花椰菜,120,2017-11-01,11,,,
肉,雞腿,150,2017-11-01,11,,,
肉,五花肉、肉絲,240,2017-11-01,11,,,
水果,芭樂、蘋果、柳丁,290,2017-11-01,11,,,
牛奶,,89,2017-11-01,11,,,
花生麵筋,,35,2017-11-01,11,,,
雞蛋,,65,2017-11-01,11,,,
牙線,*2,50,2017-11-02,11,,,
牙膏,,75,2017-11-02,11,,,
米,,260,2017-11-02,11,,,
吐司,,95,2017-11-02,11,,,
牛奶,,90,2017-11-04,11,,,
水果,芭樂、橘子,200,2017-11-04,11,,,
外食,刀削麵,380,2017-11-04,11,,,
蔬菜,甜豆、薑,60,2017-11-05,11,,,
蔬菜,四季豆,100,2017-11-05,11,,,
蔬菜,杏鮑菇、玉米、茼蒿、娃娃菜,260,2017-11-05,11,,,
肉,排骨、肉絲,240,2017-11-05,11,,,
外食,西雅圖,320,2017-11-05,11,,,
衛生紙,,59,2017-11-05,11,,,
肉,全聯肉片＊2,153,2017-11-05,11,,,
咖啡,,119,2017-11-05,11,,,
奶油,,55,2017-11-05,11,,,
水果,橘子、葡萄,300,2017-11-06,11,,,
雞蛋麵,,35,2017-11-06,11,,,
